,huali,yeshoupai,roseonly,ershouche,gongpingjia
13351011100,0,0,0,0,0
13351011101,0,0,0,0,0
13351011102,0,0,0,0,0
13351011103,0,0,0,0,0
13351011104,0,0,0,0,0
13351011105,0,0,0,0,0
13351011106,0,0,0,0,0
13351011107,0,0,0,0,0
13351011108,0,0,0,0,0
13351011109,0,0,0,0,0
13351011110,0,0,0,0,0
13351011111,0,0,0,0,0
13351011112,0,0,0,0,0
13351011113,0,0,0,0,0
13351011114,0,0,0,0,0
13351011115,0,0,0,0,0
13351011116,0,0,0,0,0
13351011117,0,0,0,0,0
13351011118,0,0,0,0,0
13351011119,0,0,0,0,0
13351011120,0,0,0,0,0
13351011121,0,0,0,0,0
13351011122,0,0,0,0,0
13351011123,0,0,0,0,0
13351011124,0,0,0,0,0
13351011125,0,0,0,0,0
13351011126,0,0,0,0,0
13351011127,0,0,0,0,
13351011128,0,0,0,0,0
13351011129,0,0,0,0,
